Date,Open,High,Low,Close,Adj Close,Volume
3/8/2022,438,442.100006,425,440.299988,433.53421,42510207
3/9/2022,442,454.299988,438.549988,451.700012,444.759033,32331325
3/10/2022,469.899994,476.649994,461.649994,468.700012,461.497833,34553299
3/11/2022,466.399994,474.799988,462,470.350006,463.122467,22091309
3/14/2022,471,486,470.549988,485.149994,477.695038,27750689
3/15/2022,489,490.5,480.649994,485.850006,478.384277,27204899
3/16/2022,493,494.299988,489.399994,492.75,485.178253,16211288
3/17/2022,499,503.5,498.299988,501.899994,494.187653,22947673
3/21/2022,502,502,489,490.600006,483.061279,19064060
3/22/2022,490.600006,495.799988,477.25,493.700012,486.113647,26157969
3/23/2022,498.5,502.399994,489.200012,490.649994,483.110504,15800195
3/24/2022,485,494.799988,483.5,487.100006,479.615082,18174877
3/25/2022,491.75,493.299988,486.600006,490.700012,483.15976,11541196
3/28/2022,490.950012,498.600006,481.950012,497.5,489.855255,16738684
3/29/2022,500,501.399994,491.700012,495,487.393677,14301429
3/30/2022,499.299988,500.399994,492.299988,494.299988,486.704407,16461225
3/31/2022,494.299988,497.549988,492.200012,493.549988,485.965942,10240982
4/1/2022,491,509.75,491,508.200012,500.390839,18527226
4/4/2022,509.299988,514.900024,506,512.400024,504.526337,16257176
4/5/2022,514.400024,516.400024,507.700012,509.399994,501.572388,13602384
4/6/2022,507,515.200012,506,513.950012,506.05249,13738275
4/7/2022,510.049988,519.900024,510.049988,514.950012,507.03714,19620958
4/8/2022,519.5,519.5,512.349976,516.099976,508.169434,13572638
4/11/2022,513.5,522,513.200012,514.900024,506.987915,12370288
4/12/2022,512.75,516.700012,504.350006,512.849976,504.96936,14460680
4/13/2022,514.299988,520.900024,513.75,517.700012,509.744873,15440525
4/18/2022,512,515,504,509.5,501.670868,14492183
4/19/2022,513.25,520.950012,505.100006,511.799988,503.935516,20362934
4/20/2022,512,513.700012,507,509.299988,501.473938,11881305
4/21/2022,513.400024,518,512.200012,516.299988,508.366364,10035638
4/22/2022,512.900024,513.5,499,500.600006,492.907623,16760456
4/25/2022,495,499.200012,490.049988,494.75,487.147522,14057444
4/26/2022,499,507.899994,498.450012,505.5,497.73233,12137213
4/27/2022,500,502.799988,491.850006,497.25,489.6091,12367342
4/28/2022,499.149994,510,496.5,507.5,499.701599,12154792
4/29/2022,508.100006,512.5,494,496.299988,488.673676,12894773
5/2/2022,492.649994,495,481.299988,491,483.455139,18590895
5/4/2022,492,496.450012,477.5,479.649994,472.279541,14645323
5/5/2022,485,494,478.649994,480,472.624176,14130385
5/6/2022,471,486.100006,471,483.950012,476.513489,16710020
5/9/2022,477.100006,483.700012,473.799988,475.899994,468.587158,13544947
5/10/2022,477,482.549988,473.5,475.200012,467.897949,10884328
5/11/2022,475.25,479,463.649994,476.549988,469.227173,14771351
5/12/2022,473,473,456.350006,462.649994,455.540771,18947096
5/13/2022,469.450012,477,439.75,444.649994,437.817352,61403008
5/16/2022,445,461.5,438.850006,455,448.008331,27940958
5/17/2022,458.299988,469.649994,456.149994,467.299988,460.119324,16880698
5/18/2022,467.899994,468.600006,457.100006,458,450.962219,15644497
5/19/2022,449.049988,450,444.450012,447.5,440.623566,14201420
5/20/2022,454.850006,464,454.149994,462.399994,455.294617,13596860
5/23/2022,463.100006,471.399994,459.5,460.899994,453.817657,13499415
5/24/2022,462.399994,466.799988,460.200012,462.049988,454.949982,17175179
5/25/2022,461,464.450012,452.049988,454.100006,454.100006,12728644
5/26/2022,456.850006,470.100006,452.5,468.899994,468.899994,17055257
5/27/2022,471.399994,475,467.5,468.950012,468.950012,10977001
5/30/2022,473,476.899994,471.100006,474.600006,474.600006,9365470
5/31/2022,474,476.399994,465,468.100006,468.100006,15441579
6/1/2022,468,472,464.700012,468.299988,468.299988,9424008
6/2/2022,466.899994,472.350006,466.149994,469.850006,469.850006,9370989
6/3/2022,473.25,475.5,463.5,464.5,464.5,11306291
6/6/2022,464.200012,465.600006,456.5,463.700012,463.700012,10661432
6/7/2022,461.850006,465.950012,460.5,463.399994,463.399994,7672515
6/8/2022,466.600006,475.549988,463.200012,471.299988,471.299988,17168871
6/9/2022,468.950012,470.899994,462.450012,466.950012,466.950012,12635601
6/10/2022,462,464.149994,458.600006,461.850006,461.850006,8621104
6/13/2022,454,454.049988,442.100006,445.850006,445.850006,13426836
6/14/2022,445,449.25,443.350006,448.100006,448.100006,11351101
6/15/2022,448.950012,455.450012,448.600006,451.350006,451.350006,9920926
6/16/2022,455.149994,457.75,440.149994,441.600006,441.600006,10780703
6/17/2022,440,447.549988,437.25,441,441,14326050
6/20/2022,441.5,443.450012,430.700012,434.700012,434.700012,12368534
6/21/2022,439.5,454.950012,437.600006,450.75,450.75,13801891
6/22/2022,448.75,451.200012,444.649994,447.649994,447.649994,11066447
6/23/2022,449,456.450012,446,451.399994,451.399994,12229833
6/24/2022,455.799988,460.350006,453.200012,454.25,454.25,10833364
6/27/2022,459.950012,464.850006,458.049988,461.200012,461.200012,9509175
6/28/2022,458.899994,465.75,458,464.25,464.25,13261290
6/29/2022,460,462.700012,458,459.100006,459.100006,11800876
6/30/2022,459,469.299988,458.600006,465.899994,465.899994,16926328
7/1/2022,463.350006,468.799988,460.549988,466.850006,466.850006,9405495
7/4/2022,466.850006,474.149994,466.850006,473.450012,473.450012,9186358
7/5/2022,475.149994,480,471,472.149994,472.149994,12003244
7/6/2022,475.149994,481,473.899994,479.950012,479.950012,12059857
7/7/2022,484,488.25,481.600006,486.75,486.75,11497832
7/8/2022,489,489.899994,485.149994,488.549988,488.549988,9057231
7/11/2022,485,491.299988,485,488.200012,488.200012,7704792
7/12/2022,485,491.350006,483.100006,484.950012,484.950012,7364457
7/13/2022,487.75,492.450012,484.549988,486.5,486.5,8208853
7/14/2022,486.600006,488.899994,476.799988,479.350006,479.350006,9385630
7/15/2022,482.549988,484.399994,474.700012,479.100006,479.100006,6945602
7/18/2022,484.549988,491.5,482.100006,490.299988,490.299988,9934786
7/19/2022,488,498.549988,488,497.950012,497.950012,11724183
7/20/2022,501,510.600006,500.399994,508.600006,508.600006,19280117
7/21/2022,509.799988,513.400024,506.75,512.049988,512.049988,13814893
7/22/2022,513.450012,520.200012,511.200012,513.700012,513.700012,14699129
7/25/2022,513.400024,519,509.149994,517.799988,517.799988,10229778
7/26/2022,517.700012,520.799988,513.099976,514.200012,514.200012,8862656
7/27/2022,515.299988,529.950012,512.25,528.200012,528.200012,15101546
7/28/2022,533.200012,537.5,529.549988,532.450012,532.450012,12160734
7/29/2022,535.049988,537,526.75,528.349976,528.349976,11921058
8/1/2022,529.049988,535,526.400024,533.75,533.75,8295631
8/2/2022,531.900024,544.900024,531.099976,542.099976,542.099976,16845027
8/3/2022,541.900024,546.400024,534.650024,540.849976,540.849976,24262125
8/4/2022,543.650024,544,524.200012,533.25,533.25,18072293
8/5/2022,535.549988,542.900024,529,531.049988,531.049988,21110734
8/8/2022,524,524,513.849976,520.400024,520.400024,32566317
8/10/2022,521.549988,523.5,513.400024,514.700012,514.700012,16904151
8/11/2022,520,526,517.200012,524.75,524.75,13862195
8/12/2022,525.700012,531.799988,525.150024,530.700012,530.700012,12154012
8/16/2022,533.299988,533.849976,525,525.950012,525.950012,10721167
8/17/2022,528.849976,530.549988,524.349976,528.150024,528.150024,12054183
8/18/2022,526.849976,534.799988,526.200012,532.349976,532.349976,9013662
8/19/2022,532,533.650024,518.5,520.349976,520.349976,11087222
8/22/2022,519,519.900024,510,511.299988,511.299988,9676954
8/23/2022,508.25,524,508.25,521.900024,521.900024,8597965
8/24/2022,519,523,512.299988,519.299988,519.299988,11930650
8/25/2022,521.950012,528.299988,518.5,520.400024,520.400024,15473450
8/26/2022,523.799988,529.5,522.200012,523.799988,523.799988,12855886
8/29/2022,511.299988,517,508.75,514.849976,514.849976,9421339
8/30/2022,518.200012,532.5,517.950012,531.25,531.25,14835308
9/1/2022,522.25,540.900024,522.25,533.299988,533.299988,16670228
9/2/2022,537,537.849976,531.25,536.700012,536.700012,10017930
9/5/2022,537,540.799988,536.299988,538.900024,538.900024,7819994
9/6/2022,538,542.700012,534.099976,537.799988,537.799988,8657868
9/7/2022,534.400024,537.450012,531.549988,532.849976,532.849976,8445359
9/8/2022,536,546.299988,535.5,544.650024,544.650024,12240707
9/9/2022,549.650024,557,548,553.349976,553.349976,18587927
9/12/2022,554.900024,558.599976,551.25,554.900024,554.900024,9677415
9/13/2022,560,560,553.75,558,558,16707275
9/14/2022,550,574.849976,549.25,571.75,571.75,21632641
9/15/2022,572.549988,578.5,567.900024,572.150024,572.150024,12749947
9/16/2022,569.099976,574,560.299988,561.799988,561.799988,14739280
9/19/2022,560.700012,574.400024,559.549988,572.25,572.25,11194003
9/20/2022,577.950012,577.950012,572.849976,574.049988,574.049988,8484017
9/21/2022,575,577.299988,565.400024,569.700012,569.700012,9392526
9/22/2022,566.75,574,562,567.299988,567.299988,11869435
9/23/2022,564.799988,568,549.5,550.599976,550.599976,12563239
9/26/2022,545.799988,549,533,543.299988,543.299988,16158750
9/27/2022,544.549988,550.900024,533.200012,536.5,536.5,11066799
9/28/2022,532.900024,539.799988,520.349976,524.849976,524.849976,12233485
9/29/2022,529,535.700012,519.549988,521.75,521.75,17310168
9/30/2022,524,536.900024,516.150024,530.599976,530.599976,17466950
10/3/2022,527.599976,531.650024,518.5,519.75,519.75,9351162
10/4/2022,533,535.799988,527.799988,532.700012,532.700012,8745887
10/6/2022,534.599976,541.799988,534.599976,537.299988,537.299988,9507322
10/7/2022,535.5,535.599976,526.549988,530.200012,530.200012,11065307
10/10/2022,525.700012,533.900024,522.200012,530.75,530.75,9649292
10/11/2022,530.75,533.700012,525.5,527.400024,527.400024,10825440
10/12/2022,530,535,526,533.799988,533.799988,8522604
10/13/2022,533,533.799988,520.200012,521.450012,521.450012,12972765
10/14/2022,530.200012,534.849976,526,527.200012,527.200012,8545479
10/17/2022,526.400024,544.700012,524.200012,543.650024,543.650024,13485349
10/18/2022,547.099976,563.5,546.75,562.450012,562.450012,20440781
10/19/2022,563,563.450012,551.549988,553.400024,553.400024,9540583
10/20/2022,552,556.799988,545.299988,555.400024,555.400024,11225588
10/21/2022,557.25,565.799988,557.25,560.849976,560.849976,11767639
10/24/2022,567,572.5,565.900024,570.5,570.5,3692065
10/25/2022,572.5,586.200012,568,578.549988,578.549988,19899324
10/27/2022,583.950012,585,577.599976,579.650024,579.650024,13613533
10/28/2022,579.950012,582.650024,567,570.75,570.75,10043644
10/31/2022,574.950012,577.450012,568.400024,573.799988,573.799988,9894639
11/1/2022,576.349976,585.75,574.599976,576.900024,576.900024,12069579
11/2/2022,575.900024,578.950012,569.900024,573.849976,573.849976,10241440
11/3/2022,569,587.950012,568,584.900024,584.900024,17557998
11/4/2022,586,596.950012,580.400024,593.950012,593.950012,25759031
11/7/2022,613,622.700012,607.700012,614.150024,614.150024,44265903
11/9/2022,621,621,610.549988,615.549988,615.549988,18939854
11/10/2022,613.099976,615.099976,602.200012,605.75,605.75,11618405
11/11/2022,617.25,619.549988,598.5,601.299988,601.299988,15525267
11/14/2022,603.950012,603.950012,591.650024,592.549988,592.549988,12957268
11/15/2022,594.299988,602.099976,592.650024,600.849976,600.849976,10286417
11/16/2022,599.950012,603.5,596,599.75,599.75,11555749
11/17/2022,599.099976,602.75,596.150024,599.049988,599.049988,8167131
11/18/2022,601,605.75,597.150024,602.700012,602.700012,12933675
11/21/2022,602.099976,602.099976,595.349976,598.099976,598.099976,7412419
11/22/2022,598.150024,600.700012,596.150024,599.099976,599.099976,8048595
11/23/2022,601.549988,609.599976,601,607.650024,607.650024,12435924
11/24/2022,609.75,611.299988,605.799988,609.349976,609.349976,8960032
11/25/2022,610.549988,613.700012,606.25,607.400024,607.400024,9994513
11/28/2022,605.599976,610.900024,602.349976,608.599976,608.599976,7934274
11/29/2022,607.099976,611.799988,607.099976,608.549988,608.549988,6942919
11/30/2022,608.5,611.400024,598.400024,602.450012,602.450012,15606230
12/1/2022,607.849976,609.799988,601.549988,608.099976,608.099976,14209313
12/2/2022,607.5,609.599976,604.25,607.549988,607.549988,7533838
12/5/2022,608.5,618,607.549988,617.299988,617.299988,11585602
12/6/2022,614.75,619.799988,607.799988,608.950012,608.950012,12996244
12/7/2022,610.849976,612.900024,604.5,607.049988,607.049988,7613892
12/8/2022,609.75,613.799988,607.150024,611.650024,611.650024,10020015
12/9/2022,614.400024,618,609.099976,616.5,616.5,11202267
12/12/2022,614.799988,618.700012,611,613.049988,613.049988,9285187
12/13/2022,613.5,617.400024,612.5,616.75,616.75,7455415
12/14/2022,618.5,626.75,617.5,625.5,625.5,14010673
12/15/2022,625.549988,629.549988,614.299988,615.950012,615.950012,10622271
12/16/2022,612,615.599976,602.099976,603.349976,603.349976,9435071
12/19/2022,604,609.5,603,604.450012,604.450012,8322012
12/20/2022,603,606.5,599.549988,604.450012,604.450012,6753785
12/21/2022,605.900024,609.150024,589.599976,593.400024,593.400024,9217253
12/22/2022,597,599,587.549988,593.400024,593.400024,8740149
12/23/2022,590,590.700012,571.5,574,574,13047046
12/26/2022,574,601.700012,570.700012,597.099976,597.099976,13201587
12/27/2022,600.400024,603.099976,593.299988,601.900024,601.900024,9638618
12/28/2022,600.900024,607,598.549988,601.049988,601.049988,7988631
12/29/2022,600,618,597.150024,611.799988,611.799988,20130392
12/30/2022,615.25,620.549988,611.349976,613.700012,613.700012,13052895
1/2/2023,614.950012,619.200012,611.200012,612.200012,612.200012,6726084
1/3/2023,614.5,616.599976,610,612.400024,612.400024,6818062
1/4/2023,611.849976,614.950012,604,605.200012,605.200012,7011191
1/5/2023,607,611.599976,601.950012,605.099976,605.099976,8241475
1/6/2023,607.400024,607.450012,597,600.650024,600.650024,7972036
1/9/2023,605,609,600.099976,607.700012,607.700012,8878905
1/10/2023,608.450012,609,590.599976,595.150024,595.150024,10619302
