Date,Open,High,Low,Close,Adj Close,Volume
1/10/2022,493.350006,504.950012,492.5,503.649994,495.910736,15832274
1/11/2022,503,507.799988,499.25,505.950012,498.175415,16107950
1/12/2022,509.899994,513.5,508.5,510.25,502.409332,14489616
1/13/2022,510,512.849976,507,511.350006,503.492432,10450974
1/14/2022,509,510.350006,505.149994,508.350006,500.538544,8724574
1/17/2022,508,518.900024,507.549988,514,506.101715,17422211
1/18/2022,514,517.450012,505,506.799988,499.012329,12592506
1/19/2022,505,517.650024,500.299988,515.799988,507.874054,16079457
1/20/2022,516,519.150024,508,511.399994,503.541656,17724642
1/21/2022,505.299988,507.5,498,502.700012,494.975372,16947941
1/24/2022,502.399994,506.799988,488,494.149994,486.556732,20233933
1/25/2022,490,517.5,489,514.650024,506.74176,21791739
1/27/2022,503.549988,530.849976,503.200012,528.950012,520.822021,35409230
1/28/2022,534,536.400024,521.400024,523.450012,515.406494,24715250
1/31/2022,529,540.900024,527.049988,538.299988,530.02832,28674232
2/1/2022,543.950012,543.950012,520,532.299988,524.120483,32245356
2/2/2022,536.650024,544.25,531.349976,539.799988,531.505249,21661864
2/3/2022,537.150024,544.700012,537.150024,540.099976,531.800659,22717677
2/4/2022,542.150024,546.400024,527.299988,530.299988,522.151245,25332894
2/7/2022,531.900024,549,525.25,533.25,525.055908,52289545
2/8/2022,535.5,537.650024,519,531.349976,523.185059,26567546
2/9/2022,534.950012,536.5,527.75,535.25,527.025208,14856155
2/10/2022,537.099976,543.950012,534.400024,540.549988,532.243713,18659370
2/11/2022,536.25,537.700012,527.099976,529.599976,521.461975,14607095
2/14/2022,515,515.599976,499.700012,501.399994,493.695313,26153332
2/15/2022,502,526.849976,497.100006,524.799988,516.735718,23842951
2/16/2022,526.5,528,514,516.700012,508.760223,19773807
2/17/2022,520,520,511.149994,512.950012,505.067871,16408356
2/18/2022,510.100006,520.900024,510.100006,515.299988,507.381714,15111223
2/21/2022,511.549988,517.5,504.649994,511.850006,503.984772,16866932
2/22/2022,500.899994,505.299988,495.5,498.399994,490.741425,27108772
2/23/2022,503,505.350006,497.25,498.700012,491.036835,13899433
2/24/2022,480,487.950012,468,472.649994,465.387115,32356037
2/25/2022,480,491.899994,479.299988,482.950012,475.528839,21792287
2/28/2022,476.899994,485.299988,473.100006,483.200012,475.774994,18069367
3/2/2022,478,479.799988,467,474.25,466.962524,22003848
3/3/2022,480,483.399994,464.600006,467.399994,460.217773,20358590
3/4/2022,460.299988,470.899994,457.649994,461.950012,454.851532,20684268
3/7/2022,447.5,453.950012,433.450012,440.299988,433.53421,33720472
